host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_score_mean,review_tier
within an hour,True,True,Cortes,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,157.0,3,1125,3.0,1125.0,2,3,8,216,14,2,4.9,4.95,4.91,4.94,4.95,4.89,4.923333333333334,Excelente (>4.8)
within a day,True,True,Embajadores,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,95.0,5,1125,5.0,1125.0,3,10,20,54,9,2,4.92,4.88,4.94,4.92,4.81,4.83,4.883333333333334,Excelente (>4.8)
within an hour,True,True,Almenara,Entire rental unit,Entire home/apt,6,1.5,3.0,4.0,160.0,90,333,32.0,333.0,27,57,87,32,0,0,4.55,4.52,4.74,4.74,4.32,4.32,4.531666666666667,Alta (4.5–4.8]
within a few hours,True,True,Niño Jesús,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,115.0,2,365,2.0,365.0,4,10,28,319,57,3,4.71,4.7,4.89,4.88,4.81,4.59,4.763333333333333,Alta (4.5–4.8]
within an hour,True,True,Sol,Private room in rental unit,Private room,2,1.5,1.0,1.0,70.0,2,90,2.0,1125.0,2,10,19,658,63,3,4.53,4.57,4.72,4.8,4.97,4.55,4.69,Alta (4.5–4.8]
within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,110.0,2,365,2.0,365.0,0,0,2,188,29,2,4.94,4.81,4.86,4.96,4.99,4.87,4.905,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire loft,Entire home/apt,2,1.0,1.0,1.0,70.0,4,730,4.0,730.0,0,0,0,44,6,0,4.64,4.41,4.86,4.82,4.95,4.39,4.678333333333334,Alta (4.5–4.8]
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,144.0,3,365,3.0,1125.0,5,32,56,253,23,1,4.63,4.62,4.73,4.59,4.9,4.55,4.67,Alta (4.5–4.8]
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,117.0,3,365,3.0,1125.0,5,22,43,109,14,2,4.43,4.5,4.68,4.52,4.83,4.22,4.53,Alta (4.5–4.8]
within a day,True,True,Lista,Private room in rental unit,Private room,1,1.5,1.0,2.0,27.0,4,180,4.0,180.0,0,4,13,215,18,1,4.97,4.87,4.99,4.97,4.94,4.91,4.941666666666667,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,94.0,3,365,3.0,1125.0,5,18,35,126,18,1,4.6,4.44,4.75,4.6,4.94,4.4,4.621666666666667,Alta (4.5–4.8]
within an hour,True,True,Justicia,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,64.0,4,1125,5.6,1125.0,2,3,3,497,50,2,4.87,4.96,4.93,4.93,4.95,4.84,4.913333333333333,Excelente (>4.8)
