host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_score_mean,review_tier
within an hour,True,True,Cortes,Entire rental unit,Entire home/apt,9,3.5,4.0,7.0,475.0,1,1125,1.7,1125.0,8,22,43,70,14,0,4.87,4.81,4.73,4.8,4.89,4.69,4.798333333333334,Alta (4.5–4.8]
within a few hours,True,True,Vista Alegre,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,142.0,3,365,3.0,365.0,17,42,72,20,3,0,4.3,4.25,4.45,4.35,4.35,4.2,4.316666666666667,Media (4.0–4.5]
within an hour,True,True,Cortes,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,115.0,1,31,1.4,1125.0,0,6,23,232,83,4,4.67,4.75,4.84,4.82,4.95,4.61,4.7733333333333325,Alta (4.5–4.8]
within a few hours,True,True,Recoletos,Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,114.0,10,1125,9.0,1125.0,4,5,5,85,19,0,4.73,4.69,4.91,4.85,4.95,4.68,4.801666666666667,Excelente (>4.8)
within an hour,True,True,Castellana,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,172.0,31,330,31.0,330.0,0,0,0,6,1,0,4.83,5.0,4.83,4.67,4.67,4.17,4.695,Alta (4.5–4.8]
within an hour,True,True,Trafalgar,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,139.0,31,330,31.0,1125.0,0,0,0,4,0,0,5.0,5.0,5.0,4.75,5.0,5.0,4.958333333333333,Excelente (>4.8)
within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,187.0,1,1125,1.1,365.0,3,10,10,46,9,0,4.59,4.63,4.85,4.87,4.91,4.33,4.696666666666666,Alta (4.5–4.8]
within an hour,True,True,Palacio,Entire serviced apartment,Entire home/apt,4,1.0,1.0,2.0,197.0,2,364,4.7,1125.0,9,37,67,187,46,3,4.81,4.74,4.78,4.78,4.87,4.66,4.773333333333334,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Entire serviced apartment,Entire home/apt,6,2.0,2.0,3.0,246.0,2,364,4.7,1125.0,11,33,63,201,41,4,4.9,4.83,4.87,4.87,4.93,4.79,4.865,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire serviced apartment,Entire home/apt,6,1.0,2.0,3.0,200.0,2,364,4.7,1125.0,2,13,38,201,52,5,4.9,4.84,4.9,4.75,4.89,4.76,4.84,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire serviced apartment,Entire home/apt,4,1.0,0.0,2.0,140.0,2,364,4.7,1125.0,9,28,49,193,48,5,4.72,4.68,4.9,4.82,4.84,4.62,4.763333333333333,Alta (4.5–4.8]
within an hour,True,True,Almendrales,Entire loft,Entire home/apt,4,1.0,1.0,2.0,103.0,2,365,2.0,1125.0,4,17,27,38,1,0,4.84,4.89,4.71,4.66,4.42,4.58,4.683333333333334,Alta (4.5–4.8]
within an hour,True,True,Sol,Entire serviced apartment,Entire home/apt,2,1.0,0.0,1.0,214.0,1,365,1.3,999.0,8,20,45,54,13,0,4.87,4.76,4.98,4.91,4.98,4.78,4.88,Excelente (>4.8)
within a few hours,True,True,Sol,Tiny home,Entire home/apt,3,1.0,0.0,2.0,99.0,3,365,3.0,365.0,0,0,0,9,0,0,4.44,3.89,4.67,4.0,5.0,3.89,4.315,Media (4.0–4.5]
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,160.0,1,365,49.9,999.0,13,34,64,95,35,2,4.67,4.78,4.4,4.74,4.88,4.38,4.641666666666667,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,127.0,1,1125,1.0,1125.0,0,7,29,276,80,4,4.83,4.79,4.91,4.93,4.68,4.79,4.821666666666666,Excelente (>4.8)
within an hour,True,True,Universidad,Entire condo,Entire home/apt,2,1.0,1.0,2.0,121.0,4,32,14.0,32.0,11,41,71,99,20,0,4.83,4.83,4.83,4.8,4.8,4.58,4.778333333333333,Alta (4.5–4.8]
within an hour,True,True,Quintana,Entire loft,Entire home/apt,4,1.0,1.0,2.0,97.0,2,365,2.0,365.0,9,35,65,144,45,4,4.79,4.85,4.8,4.79,4.57,4.51,4.718333333333334,Alta (4.5–4.8]
within an hour,True,True,Imperial,Entire rental unit,Entire home/apt,6,1.5,2.0,4.0,157.0,2,90,2.0,1125.0,3,17,17,76,30,0,4.87,4.86,4.93,4.97,4.8,4.78,4.868333333333333,Excelente (>4.8)
within an hour,True,True,Quintana,Entire loft,Entire home/apt,4,1.0,1.0,2.0,80.0,2,365,2.0,365.0,6,35,65,115,34,3,4.75,4.89,4.77,4.75,4.58,4.55,4.715000000000001,Alta (4.5–4.8]
within an hour,True,True,Cuatro Caminos,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,181.0,2,1125,2.0,1125.0,15,26,26,108,28,0,4.6,4.53,4.83,4.8,4.61,4.49,4.6433333333333335,Alta (4.5–4.8]
within a few hours,True,False,Embajadores,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,152.0,28,365,25.9,365.0,1,1,1,47,16,1,4.81,4.79,4.79,4.68,4.81,4.74,4.77,Alta (4.5–4.8]
within an hour,True,True,Sol,Private room in hostel,Private room,2,0.0,0.0,1.0,180.0,1,365,1.0,365.0,18,46,70,9,6,5,4.89,4.89,4.67,4.89,5.0,4.67,4.835,Excelente (>4.8)
within a few hours,True,True,Canillas,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,84.0,4,365,5.0,365.0,19,49,79,19,4,0,4.63,4.37,4.79,4.84,4.68,4.26,4.595,Alta (4.5–4.8]
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,223.0,2,365,2.0,365.0,3,12,40,177,31,3,4.89,4.95,4.88,4.97,4.92,4.79,4.8999999999999995,Excelente (>4.8)
within an hour,True,True,Valdefuentes,Private room in condo,Private room,3,1.0,2.0,2.0,44.0,1,365,1.0,365.0,20,43,73,99,14,0,4.96,4.95,4.88,4.96,4.82,4.88,4.908333333333333,Excelente (>4.8)
within an hour,True,True,Palos de Moguer,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,162.0,1,365,5.1,365.0,6,22,43,70,19,0,4.89,4.77,4.91,4.89,4.91,4.7,4.845,Excelente (>4.8)
within an hour,True,True,Atocha,Entire rental unit,Entire home/apt,6,2.0,3.0,5.0,164.0,1,365,5.1,365.0,2,16,33,137,28,1,4.75,4.77,4.85,4.85,4.87,4.63,4.786666666666666,Alta (4.5–4.8]
within a day,True,True,San Diego,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,50.0,30,365,30.0,365.0,1,1,1,11,4,0,4.91,4.91,5.0,4.91,4.27,4.73,4.788333333333333,Alta (4.5–4.8]
within an hour,True,True,Argüelles,Entire rental unit,Entire home/apt,5,1.5,2.0,4.0,155.0,1,1125,5.1,1125.0,6,11,19,71,22,3,4.69,4.61,4.89,4.94,4.87,4.52,4.753333333333334,Alta (4.5–4.8]
within an hour,True,True,Sol,Entire serviced apartment,Entire home/apt,2,1.0,1.0,1.0,199.0,1,1125,1.0,320.7,20,50,75,133,20,1,4.58,4.73,4.46,4.45,4.88,4.36,4.576666666666666,Alta (4.5–4.8]
within an hour,True,True,Sol,Entire serviced apartment,Entire home/apt,3,1.0,1.0,2.0,280.0,1,1125,1.0,320.7,16,32,55,30,19,0,4.8,4.93,4.9,4.8,4.9,4.83,4.859999999999999,Excelente (>4.8)
within an hour,True,True,Sol,Entire serviced apartment,Entire home/apt,4,1.0,1.0,2.0,259.0,1,1125,1.0,320.7,25,55,80,48,7,0,4.4,4.52,4.5,4.4,4.67,4.08,4.428333333333334,Media (4.0–4.5]
within an hour,True,True,Cortes,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,110.0,6,1125,6.0,1125.0,0,0,0,155,33,0,4.61,4.59,4.65,4.76,4.93,4.52,4.676666666666667,Alta (4.5–4.8]
within a day,True,True,Castillejos,Entire serviced apartment,Entire home/apt,2,1.0,1.0,1.0,90.0,30,365,30.0,365.0,0,18,48,2,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excelente (>4.8)
within an hour,True,True,Universidad,Private room in rental unit,Private room,2,1.0,1.0,1.0,50.0,15,365,15.0,1125.0,6,15,45,47,2,0,4.57,4.6,4.66,4.72,4.79,4.51,4.641666666666667,Alta (4.5–4.8]
within an hour,True,True,Universidad,Private room in rental unit,Private room,2,1.0,1.0,1.0,50.0,15,365,15.0,1125.0,9,17,47,42,5,0,4.69,4.43,4.6,4.79,4.79,4.38,4.613333333333333,Alta (4.5–4.8]
within a day,True,True,Castillejos,Entire serviced apartment,Entire home/apt,2,1.0,1.0,1.0,96.0,1,365,30.0,365.0,0,18,48,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excelente (>4.8)
within a day,True,True,Castillejos,Entire serviced apartment,Entire home/apt,3,1.0,2.0,2.0,140.0,1,365,30.0,365.0,0,30,60,2,1,0,4.5,5.0,5.0,5.0,4.5,4.0,4.666666666666667,Alta (4.5–4.8]
within a day,True,True,Castillejos,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,102.0,1,365,30.0,365.0,0,0,0,2,1,0,5.0,5.0,5.0,5.0,4.5,4.5,4.833333333333333,Excelente (>4.8)
within a day,True,True,Castillejos,Entire serviced apartment,Entire home/apt,4,2.0,2.0,3.0,116.0,1,365,30.0,365.0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excelente (>4.8)
within an hour,True,False,Justicia,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,61.0,1,1125,1.9,93.5,11,41,71,150,20,0,4.45,4.61,4.71,4.51,4.87,4.26,4.568333333333334,Alta (4.5–4.8]
within an hour,True,True,Almagro,Entire rental unit,Entire home/apt,6,3.0,3.0,3.0,185.0,31,330,31.0,1125.0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excelente (>4.8)
within an hour,True,True,Valdeacederas,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,78.0,28,360,27.5,360.0,3,3,28,24,8,0,4.92,4.96,4.92,4.96,4.71,4.83,4.883333333333333,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,185.0,1,1125,6.6,1125.0,4,24,54,109,33,0,4.67,4.77,4.82,4.83,4.81,4.49,4.7316666666666665,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Private room in rental unit,Private room,2,1.0,1.0,1.0,143.0,1,365,2.0,365.0,9,25,39,27,1,0,4.59,4.44,4.7,4.89,4.85,4.59,4.676666666666667,Alta (4.5–4.8]
within an hour,True,True,Bellas Vistas,Entire loft,Entire home/apt,4,1.5,1.0,2.0,79.0,2,365,2.0,1125.0,2,9,27,252,68,3,4.83,4.88,4.87,4.84,4.59,4.68,4.781666666666667,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Shared room in hostel,Shared room,1,1.0,1.0,1.0,46.0,1,365,1.0,15.0,23,51,77,7,0,0,5.0,4.86,5.0,4.86,4.86,4.57,4.858333333333333,Excelente (>4.8)
within a few hours,True,True,Palos de Moguer,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,79.0,3,90,3.9,90.0,1,9,26,32,15,1,4.59,4.69,4.81,4.88,4.78,4.53,4.713333333333334,Alta (4.5–4.8]
within a day,True,True,Opañel,Entire rental unit,Entire home/apt,3,1.0,3.0,4.0,190.0,7,1125,7.0,1125.0,0,0,0,1,0,0,5.0,3.0,5.0,5.0,5.0,4.0,4.5,Media (4.0–4.5]
within a day,True,True,Opañel,Entire rental unit,Entire home/apt,4,1.0,3.0,3.0,196.0,7,365,7.0,365.0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excelente (>4.8)
within an hour,True,True,Puerta del Angel,Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,250.0,2,365,2.0,365.0,11,37,67,80,11,0,4.75,4.58,4.74,4.59,4.66,4.5,4.636666666666667,Alta (4.5–4.8]
within an hour,True,True,Ibiza,Entire rental unit,Entire home/apt,5,3.0,3.0,3.0,233.0,31,330,31.0,1125.0,0,0,17,3,0,0,5.0,4.0,5.0,5.0,5.0,4.67,4.778333333333333,Alta (4.5–4.8]
within a few hours,True,True,Universidad,Private room in casa particular,Private room,2,1.0,1.0,1.0,37.0,5,50,5.0,50.0,5,17,42,15,4,0,4.67,4.33,4.07,4.4,4.73,4.6,4.466666666666666,Media (4.0–4.5]
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,75.0,2,60,2.0,60.0,2,6,15,218,61,2,4.83,4.82,4.83,4.77,4.8,4.68,4.788333333333333,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,40.0,30,365,30.0,1125.0,0,13,25,23,9,0,4.35,4.39,4.61,4.65,4.91,4.0,4.485,Media (4.0–4.5]
within an hour,True,True,Palos de Moguer,Private room,Private room,1,5.0,1.0,1.0,66.0,1,365,1.0,365.0,29,59,89,161,37,2,4.71,4.84,4.87,4.76,4.82,4.45,4.741666666666666,Alta (4.5–4.8]
within an hour,True,True,Valverde,Entire loft,Entire home/apt,2,0.5,1.0,4.0,63.0,2,365,2.4,365.0,11,23,40,92,64,0,4.77,4.73,4.71,4.93,4.43,4.68,4.708333333333333,Alta (4.5–4.8]
within an hour,True,True,San Isidro,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,54.0,1,365,5.7,365.0,4,12,21,65,12,0,4.57,4.46,4.71,4.78,4.09,4.45,4.510000000000001,Alta (4.5–4.8]
within an hour,True,True,Ibiza,Entire rental unit,Entire home/apt,4,0.0,2.0,2.0,187.0,1,365,3.9,365.0,5,13,33,149,33,2,4.82,4.84,4.82,4.88,4.88,4.69,4.821666666666666,Excelente (>4.8)
within an hour,True,True,Palos de Moguer,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,196.0,3,363,6.6,363.0,6,16,28,58,32,4,4.71,4.5,4.79,4.84,4.72,4.52,4.68,Alta (4.5–4.8]
within an hour,True,True,Delicias,Private room in home,Private room,1,1.0,1.0,1.0,23.0,7,60,7.0,60.0,5,13,43,38,17,2,4.71,4.71,4.74,4.74,4.87,4.63,4.733333333333333,Alta (4.5–4.8]
within a day,True,True,Cuatro Caminos,Entire guesthouse,Entire home/apt,2,1.0,0.0,1.0,86.0,31,150,28.4,144.7,6,18,48,5,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excelente (>4.8)
within an hour,True,True,Pinar del Rey,Entire home,Entire home/apt,2,1.5,1.0,1.0,91.0,1,90,1.0,1125.0,8,33,63,205,53,0,4.98,4.96,4.98,4.99,4.79,4.83,4.921666666666667,Excelente (>4.8)
within a few hours,True,True,Universidad,Private room in condo,Private room,2,1.0,1.0,1.0,53.0,33,1125,33.0,1125.0,14,44,74,18,2,0,4.33,4.56,4.72,5.0,5.0,4.28,4.648333333333333,Alta (4.5–4.8]
within a few hours,True,True,Universidad,Private room in rental unit,Private room,2,1.0,1.0,1.0,52.0,32,1125,32.0,1125.0,12,25,55,16,6,1,4.69,4.38,4.31,4.69,5.0,4.44,4.585,Alta (4.5–4.8]
within a few hours,True,True,Universidad,Private room in rental unit,Private room,2,1.0,1.0,1.0,56.0,32,1125,32.0,1125.0,14,44,74,16,1,0,4.69,4.75,4.63,4.81,5.0,4.69,4.761666666666667,Alta (4.5–4.8]
within a few hours,True,True,Universidad,Private room in rental unit,Private room,1,1.0,1.0,1.0,48.0,32,365,32.0,365.0,0,0,0,11,0,0,4.55,4.64,4.36,4.82,5.0,4.18,4.591666666666667,Alta (4.5–4.8]
within a few hours,True,True,Universidad,Private room in rental unit,Private room,2,1.0,1.0,1.0,60.0,31,1125,31.0,1125.0,0,13,43,13,2,0,4.38,4.31,4.23,4.54,4.92,4.46,4.473333333333334,Media (4.0–4.5]
within an hour,True,True,Palos de Moguer,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,108.0,3,364,6.4,364.0,7,37,67,69,54,5,4.8,4.72,4.81,4.81,4.7,4.46,4.716666666666666,Alta (4.5–4.8]
within a few hours,True,True,Universidad,Private room in rental unit,Private room,2,1.0,1.0,1.0,52.0,32,1125,32.0,1125.0,0,14,44,12,1,0,4.33,4.33,4.5,4.75,4.67,4.33,4.484999999999999,Media (4.0–4.5]
within an hour,True,True,Delicias,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,149.0,3,545,6.4,545.0,5,23,53,65,49,2,4.72,4.48,4.88,4.89,4.72,4.38,4.678333333333333,Alta (4.5–4.8]
within an hour,True,True,Palos de Moguer,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,98.0,3,364,6.4,364.0,6,36,60,87,48,0,4.8,4.83,4.86,4.87,4.7,4.47,4.755,Alta (4.5–4.8]
within an hour,True,True,Palos de Moguer,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,138.0,3,363,6.4,363.0,4,19,40,103,53,4,4.67,4.68,4.83,4.79,4.7,4.42,4.681666666666666,Alta (4.5–4.8]
within an hour,True,True,Delicias,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,132.0,27,363,27.0,363.0,19,49,79,36,11,0,4.44,4.36,4.72,4.69,4.53,4.19,4.488333333333334,Media (4.0–4.5]
within an hour,True,True,Delicias,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,106.0,3,363,6.4,363.0,5,17,47,63,47,3,4.61,4.6,4.76,4.89,4.63,4.45,4.656666666666666,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Shared room in hostel,Shared room,1,1.0,1.0,1.0,44.0,1,365,1.0,15.0,18,45,73,21,3,0,4.86,4.86,4.86,4.81,4.81,4.86,4.843333333333333,Excelente (>4.8)
within an hour,True,True,Palacio,Entire loft,Entire home/apt,3,1.0,1.0,2.0,105.0,1,28,1.0,1125.0,0,5,24,185,92,4,4.79,4.85,4.91,4.91,4.97,4.74,4.861666666666667,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,113.0,3,365,3.0,365.0,5,18,22,115,33,1,4.55,4.63,4.62,4.59,4.7,4.48,4.595,Alta (4.5–4.8]
within an hour,True,True,Castillejos,Entire condo,Entire home/apt,2,1.0,1.0,2.0,78.0,14,90,14.0,90.0,2,27,57,5,0,0,5.0,4.6,4.6,4.8,4.8,4.8,4.766666666666667,Alta (4.5–4.8]
a few days or more,True,True,Chopera,Private room in rental unit,Private room,4,2.0,1.0,2.0,72.0,30,365,30.0,365.0,30,60,90,25,1,0,4.32,4.4,4.72,4.56,4.68,4.24,4.486666666666667,Media (4.0–4.5]
within a few hours,True,True,Valdezarza,Private room in vacation home,Private room,1,1.0,1.0,1.0,36.0,2,240,1.3,240.0,6,34,64,92,29,2,4.65,4.25,4.76,4.82,4.76,4.59,4.638333333333334,Alta (4.5–4.8]
a few days or more,True,True,Embajadores,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,61.0,3,365,3.0,365.0,8,16,29,31,6,0,4.71,4.74,4.74,4.71,3.87,4.42,4.531666666666666,Alta (4.5–4.8]
within an hour,True,True,Embajadores,Entire condo,Entire home/apt,4,1.0,1.0,3.0,210.0,3,365,2.9,365.0,13,43,70,202,59,2,4.79,4.87,4.75,4.87,4.91,4.68,4.8116666666666665,Excelente (>4.8)
within an hour,True,False,Universidad,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,116.0,1,365,1.0,1125.0,11,31,55,438,103,9,4.74,4.8,4.9,4.89,4.92,4.61,4.81,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,98.0,3,365,3.0,365.0,3,13,25,183,41,4,4.86,4.96,4.9,4.95,4.97,4.8,4.906666666666667,Excelente (>4.8)
within an hour,True,True,Palacio,Entire loft,Entire home/apt,4,1.0,1.0,3.0,124.0,1,28,1.0,1125.0,0,2,8,450,115,10,4.83,4.8,4.86,4.92,4.96,4.8,4.861666666666666,Excelente (>4.8)
within an hour,True,True,Castellana,Entire rental unit,Entire home/apt,5,3.0,3.0,3.0,160.0,31,365,31.0,1125.0,0,0,0,1,0,0,3.0,5.0,5.0,4.0,5.0,3.0,4.166666666666667,Media (4.0–4.5]
within a day,True,True,Cortes,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,297.0,30,1125,38.2,1125.0,0,0,0,6,2,0,5.0,5.0,4.83,4.83,5.0,4.33,4.831666666666667,Excelente (>4.8)
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,121.0,4,60,1.6,1125.0,15,42,72,45,19,0,4.64,4.44,4.67,4.58,4.93,4.38,4.6066666666666665,Alta (4.5–4.8]
within a day,True,True,Orcasur,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,90.0,4,365,4.0,365.0,21,50,77,36,9,1,4.5,4.56,4.58,4.39,4.33,4.17,4.421666666666667,Media (4.0–4.5]
within a day,True,True,Orcasur,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,115.0,4,365,4.0,365.0,24,54,84,47,11,2,4.55,4.6,4.66,4.51,4.34,4.38,4.506666666666667,Alta (4.5–4.8]
within a day,True,True,Orcasur,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,90.0,4,365,4.0,365.0,12,42,72,30,10,0,4.83,4.47,4.6,4.47,4.27,4.17,4.468333333333334,Media (4.0–4.5]
within an hour,True,True,Gaztambide,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,87.0,2,365,2.0,365.0,13,33,63,321,81,5,4.79,4.81,4.84,4.93,4.88,4.62,4.8116666666666665,Excelente (>4.8)
within a few hours,True,True,Orcasur,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,88.0,4,365,4.0,365.0,20,50,80,16,9,1,4.38,4.56,4.56,4.56,4.63,4.31,4.499999999999999,Media (4.0–4.5]
within a day,True,True,Orcasur,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,80.0,4,365,4.0,365.0,7,18,25,20,3,0,4.85,4.7,4.8,4.6,4.45,4.5,4.65,Alta (4.5–4.8]
within a day,True,True,Orcasur,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,90.0,4,365,4.0,365.0,18,47,74,33,14,2,4.58,4.79,4.7,4.39,4.24,4.27,4.495,Media (4.0–4.5]
within a few hours,True,True,Embajadores,Entire condo,Entire home/apt,3,1.0,1.0,2.0,93.0,31,365,29.3,365.0,3,3,8,211,33,0,4.78,4.69,4.85,4.84,4.92,4.64,4.786666666666666,Alta (4.5–4.8]
within a few hours,True,True,Orcasur,Entire loft,Entire home/apt,2,1.0,1.0,1.0,83.0,4,365,4.0,365.0,25,55,85,25,8,0,4.72,4.6,4.68,4.76,4.52,4.6,4.646666666666666,Alta (4.5–4.8]
within a few hours,True,True,Orcasur,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,91.0,4,365,4.0,365.0,10,35,62,12,12,2,4.75,4.92,4.5,4.83,4.5,4.67,4.695,Alta (4.5–4.8]
within a few hours,True,True,Orcasur,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,95.0,4,365,4.0,365.0,20,50,80,15,5,0,4.47,4.47,4.6,4.27,4.2,4.27,4.38,Media (4.0–4.5]
within a day,True,True,Orcasur,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,97.0,4,365,4.0,365.0,22,47,70,42,11,0,4.4,4.52,4.4,4.29,4.29,4.21,4.351666666666667,Media (4.0–4.5]
within a few hours,True,True,Orcasur,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,95.0,4,365,4.0,365.0,20,50,80,26,5,0,4.62,4.85,4.73,4.73,4.69,4.62,4.706666666666667,Alta (4.5–4.8]
within a few hours,True,True,Orcasur,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,88.0,4,365,4.0,365.0,15,45,75,24,8,0,4.58,4.58,4.75,4.54,4.25,4.17,4.478333333333333,Media (4.0–4.5]
within a few hours,True,True,Orcasur,Entire loft,Entire home/apt,2,1.0,1.0,1.0,95.0,4,365,4.0,365.0,14,44,74,26,7,0,4.77,4.62,4.77,4.77,4.54,4.73,4.7,Alta (4.5–4.8]
within a few hours,True,True,Orcasur,Entire loft,Entire home/apt,2,1.0,1.0,1.0,83.0,4,365,4.0,365.0,19,49,79,9,3,0,4.89,4.78,4.89,4.89,4.78,4.78,4.835,Excelente (>4.8)
within a few hours,True,True,Orcasur,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,91.0,4,365,4.0,365.0,18,39,57,20,8,1,4.85,4.8,4.6,4.6,4.65,4.65,4.691666666666666,Alta (4.5–4.8]
within an hour,True,True,Gaztambide,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,100.0,20,330,20.0,330.0,0,0,0,25,0,0,4.04,4.24,4.44,4.32,4.56,4.0,4.266666666666667,Media (4.0–4.5]
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,218.0,1,365,1.5,192.8,9,31,52,9,2,0,4.0,4.0,4.33,4.33,5.0,4.0,4.276666666666666,Media (4.0–4.5]
within an hour,True,True,Justicia,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,229.0,1,365,1.0,365.0,2,18,39,22,2,1,4.68,4.73,4.5,4.41,4.86,4.41,4.598333333333334,Alta (4.5–4.8]
within an hour,True,True,Justicia,Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,94.0,1,1125,3.9,1125.0,6,16,31,53,24,1,4.55,4.55,4.74,4.74,4.92,4.42,4.653333333333333,Alta (4.5–4.8]
within an hour,True,True,Cortes,Entire vacation home,Entire home/apt,3,1.0,1.0,2.0,163.0,3,365,3.0,1125.0,12,29,42,112,29,1,4.9,4.9,4.92,4.96,4.92,4.76,4.8933333333333335,Excelente (>4.8)
within an hour,True,True,Pacífico,Private room in condo,Private room,3,1.5,1.0,2.0,132.0,1,30,1.0,1125.0,6,26,55,93,10,0,4.82,4.81,4.86,4.84,4.86,4.65,4.806666666666666,Excelente (>4.8)
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,6,1.5,2.0,3.0,187.0,1,365,2.6,199.3,0,6,10,475,138,15,4.94,4.97,4.94,4.98,4.95,4.92,4.95,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,129.0,1,1125,1.0,1125.0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excelente (>4.8)
within a day,True,True,Almagro,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,218.0,30,1125,38.3,1125.0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excelente (>4.8)
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,154.0,1,365,3.7,999.0,5,9,22,136,39,3,4.85,4.87,4.68,4.87,4.88,4.75,4.816666666666666,Excelente (>4.8)
within an hour,True,True,Rios Rosas,Entire rental unit,Entire home/apt,5,3.0,3.0,3.0,132.0,31,330,31.0,330.0,0,0,0,3,0,0,5.0,5.0,5.0,4.67,4.67,5.0,4.890000000000001,Excelente (>4.8)
