id,name,host_id,host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1270182543581916307,Dormitorio en barrio la latina,192062400,within an hour,True,True,Palacio,Private room in rental unit,Private room,1,1.0,0.0,1.0,$58.00,3,7,3.0,7.0,20,46,76,14,14,0,4.93,4.93,4.86,4.93,4.93,4.71
1270195802834851581,Dobo Murillo 2Pax 1Bth Gnd Floor,133056146,within an hour,True,True,Cuatro Caminos,Private room in rental unit,Private room,2,1.0,1.0,1.0,$103.00,1,365,3.0,999.0,15,44,74,17,17,0,4.59,4.82,4.59,4.71,4.71,4.53
1270196804548774788,Dobo Murillo 2Pax 1Bth Gnd Floor,133056146,within an hour,True,True,Cuatro Caminos,Private room in rental unit,Private room,2,1.0,1.0,1.0,$103.00,1,365,3.0,999.0,15,43,72,27,27,0,4.93,4.93,4.93,4.85,4.7,4.59
1270197447157611038,Dobo Murillo 2Pax 1Bth Gnd Floor,133056146,within an hour,True,True,Cuatro Caminos,Private room in rental unit,Private room,2,1.0,1.0,1.0,$103.00,1,365,3.0,999.0,19,48,78,27,27,2,4.85,4.78,4.7,4.89,4.67,4.63
1270198266791581576,Dobo Murillo 2Pax 1Bth Gnd Floor,133056146,within an hour,True,True,Cuatro Caminos,Private room in rental unit,Private room,2,1.0,1.0,1.0,$109.00,1,365,3.0,999.0,20,48,78,14,14,1,5.0,4.86,5.0,5.0,4.71,4.93
1270207733734426362,Condesa II,1408525,within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$135.00,3,365,3.0,365.0,13,43,73,18,18,1,4.78,4.72,4.78,4.78,4.67,4.67
1270214008966265651,Dobo Murillo 2Pax 1Bth Gnd Floor,133056146,within an hour,True,True,Cuatro Caminos,Private room in rental unit,Private room,2,1.0,1.0,1.0,$110.00,1,365,3.0,999.0,19,47,77,14,14,0,4.57,4.93,5.0,4.79,4.79,4.43
1270215002611361445,Dobo Murillo 2Pax 1Bth Accessible,133056146,within an hour,True,True,Cuatro Caminos,Private room in rental unit,Private room,2,1.0,1.0,1.0,$110.00,1,365,3.0,999.0,28,54,84,11,11,1,4.82,4.73,4.82,4.91,4.64,4.64
1270228803247677302,Penthouse Plaza Provincia - Plaza Mayor,1732442,within a few hours,True,False,Sol,Entire rental unit,Entire home/apt,7,1.0,3.0,4.0,$138.00,3,300,2.8,300.0,11,37,64,16,16,1,4.81,4.5,4.63,4.69,4.94,4.5
1270240157645501302,Palacete,139103228,within a day,True,True,Sol,Private room in condo,Private room,2,1.0,1.0,1.0,$69.00,2,365,2.0,365.0,9,26,56,7,7,2,5.0,5.0,5.0,5.0,5.0,5.0
1270260794529584082,Gran Vía III - En el centro de Madrid,657774349,within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,$167.00,1,365,3.1,999.0,5,14,27,14,14,0,4.64,4.86,4.86,4.79,4.71,4.64
1270315952805219812,Hotelito Boutique  Madrid Puente Vallecas 3,3733331,within an hour,True,True,Numancia,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$86.00,1,365,2.0,999.0,7,26,54,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0
1270342463908720087,Habitación doble en chueca,278326693,within an hour,True,True,Justicia,Private room in rental unit,Private room,4,1.0,1.0,1.0,$64.00,2,365,2.0,365.0,6,28,58,4,4,0,5.0,5.0,5.0,5.0,5.0,5.0
1270375509189596383,Madrid New Apt,657811101,within an hour,True,True,Palos de Moguer,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,$110.00,2,365,2.0,365.0,17,47,77,35,35,1,4.74,4.89,4.89,4.8,4.77,4.4
1270802026150266205,Extra luminoso apartamento exterior para 2,8111578,within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$120.00,7,365,7.1,365.0,1,16,46,36,36,2,5.0,4.92,4.97,4.97,4.89,4.75
1270835263021319607,Agradable y tranquilo piso en Salamanca,657775008,within an hour,True,True,Recoletos,Entire condo,Entire home/apt,4,1.0,0.0,1.0,$135.00,5,360,5.0,360.0,1,24,54,13,13,2,4.77,5.0,5.0,4.92,5.0,4.69
1270839626977837945,Piso en Goya,96162481,within an hour,True,True,Ibiza,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$150.00,3,20,3.0,20.0,1,1,13,29,29,0,4.9,4.62,5.0,4.97,4.93,4.72
1270875670400439838,Acacias Suite,441444348,within an hour,True,True,Acacias,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$99.00,2,365,2.0,365.0,2,19,45,55,55,7,4.84,4.91,4.78,4.98,4.64,4.8
1270929606133622435,Hotelito Boutique Madrid Puente Vallecas 4,3733331,within an hour,True,True,Numancia,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$86.00,1,365,2.0,999.0,11,31,55,2,2,0,4.5,5.0,4.5,4.5,3.0,3.5
1270940850149559440,Hotelito Boutique Madrid Puente Vallecas 5,3733331,within an hour,True,True,Numancia,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$91.00,1,365,2.0,999.0,6,27,55,11,11,0,4.91,4.82,4.64,4.73,4.09,4.36
1270943526353828002,Hotelito Boutique Madrid Puente Vallecas 6,3733331,within an hour,True,True,Numancia,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$88.00,1,365,2.0,999.0,14,37,65,3,3,0,5.0,5.0,5.0,5.0,4.67,5.0
1270947996391881708,Hotelito Boutique Madrid Puente Vallecas 7,3733331,within an hour,True,True,Numancia,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$90.00,1,365,2.0,999.0,7,30,58,4,4,1,5.0,5.0,5.0,4.5,4.25,5.0
1270949970789050126,Hotelito Boutique Madrid Puente Vallecas 8,3733331,within an hour,True,True,Numancia,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$88.00,1,365,2.0,999.0,10,30,58,5,5,1,5.0,5.0,4.6,5.0,4.2,4.8
1271119089136893367,Habitación Doble en La Latina,3305388,within an hour,True,True,Palacio,Private room in rental unit,Private room,2,1.5,1.0,1.0,$45.00,2,30,2.0,30.0,0,0,12,4,4,0,4.5,4.25,4.75,4.5,5.0,4.0
1271134368808477442,Loft plaza Castilla 4,446760611,a few days or more,True,True,Valdeacederas,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,$60.00,3,365,3.0,365.0,14,44,74,2,2,0,4.0,5.0,3.5,5.0,4.5,4.0
1271506045655352862,Habitación privada en Madrid,33239462,a few days or more,True,True,Media Legua,Private room in rental unit,Private room,1,1.0,1.0,1.0,$29.00,3,365,3.0,365.0,16,46,76,6,6,0,4.83,5.0,5.0,5.0,5.0,5.0
1271537255710824635,Encantador apartamento en La Latina/Palacio Real,144658561,within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$85.00,1,6,1.0,1125.0,0,3,24,48,48,6,4.88,4.9,4.85,5.0,4.81,4.83
1271678735430022788,Amplia habitación y baño privado,214436,within a few hours,False,True,San Isidro,Private room in rental unit,Private room,1,1.0,1.0,1.0,$60.00,1,3,1.0,3.0,20,50,80,3,3,0,5.0,5.0,5.0,5.0,5.0,5.0
1271765718446851784,Habitación 25 min de sol,292658220,a few days or more,True,True,Amposta,Private room in rental unit,Private room,2,0.5,1.0,1.0,$33.00,1,365,1.0,365.0,15,45,75,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0
1271771791544352800,Céntrico piso en La Latina,464538878,within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,$170.00,3,365,3.0,365.0,4,13,43,42,42,0,4.9,4.93,4.81,4.9,4.83,4.76
1271776517180996369,Amplia habitación en centro,528819236,within a day,True,True,Embajadores,Private room in rental unit,Private room,1,2.0,1.0,1.0,$52.00,3,30,3.0,30.0,5,32,62,26,26,1,4.85,4.54,4.92,4.77,4.77,4.81
1272213244530309659,Modern and Clean Apartment,4274844,within a few hours,True,True,Universidad,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,$128.00,4,60,4.5,60.0,0,5,6,6,6,0,4.83,4.83,5.0,5.0,5.0,5.0
1272340110584509403,Estupendo estudio en Malasaña,397698176,within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,$89.00,1,364,1.7,364.0,13,43,73,14,14,3,4.43,4.71,4.79,4.93,4.79,4.36
1272344475035235100,Habitación con baño privado Chamberí,656895802,within a few hours,True,True,Vallehermoso,Private room in rental unit,Private room,1,1.0,1.0,1.0,$70.00,3,8,2.9,8.0,0,0,12,22,22,0,4.82,4.91,4.95,4.86,4.86,4.77
1272354589938141139,R14 –Deluxe Style & Trendiest location in Malasaña,427368233,within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,6,3.0,3.0,3.0,$399.00,5,365,5.0,365.0,13,43,69,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0
1272423176544771672,Apartments Cebada love,552200071,within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,$718.00,5,365,5.0,365.0,30,60,90,2,2,0,2.0,3.0,3.0,3.0,5.0,2.5
1272473512004929069,Acogedora habitación,458204796,within an hour,True,True,Puerta Bonita,Private room in rental unit,Private room,2,1.0,1.0,1.0,$33.00,1,1125,1.0,1125.0,14,32,53,77,77,4,4.66,4.65,4.81,4.88,4.49,4.71
1272484728465065660,Velázquez Apartment + Office,585720515,within an hour,True,True,Castellana,Entire rental unit,Entire home/apt,3,2.0,1.0,1.0,$162.00,30,365,30.0,365.0,1,27,49,5,5,1,5.0,5.0,5.0,5.0,5.0,5.0
1272526492021137917,A estrenar. Apto de 2 hab en Avenida America,107141654,within an hour,True,True,Prosperidad,Entire rental unit,Entire home/apt,3,2.0,2.0,2.0,$135.00,28,365,28.0,365.0,0,0,0,2,2,0,5.0,5.0,5.0,5.0,5.0,4.0
1272583835692029351,Pasa tu mejor escapada a Madrid.,479062809,within an hour,True,True,Bellas Vistas,Private room in rental unit,Private room,2,1.0,1.0,1.0,$52.00,1,30,1.0,30.0,9,31,54,30,30,1,4.62,4.48,4.72,4.66,4.41,4.41
1272585790382390418,Chic Apartment near Sol,515153130,within an hour,True,True,Sol,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,$128.00,2,365,2.0,365.0,2,9,18,48,48,5,4.89,4.7,4.83,4.85,4.91,4.68
